id,name,source,genre,role,gm_programs,instrument_families,container,member,pack
4a5d6bcbee724fba5d05,pattern07.mid,acidvoice,acid,acid,,,acidvoice/pattern07.mid,,acid/acid/acidvoice-5af895__001.zip
17ed51a100177b9301a8,pattern14.mid,acidvoice,acid,acid,,,acidvoice/pattern14.mid,,acid/acid/acidvoice-5af895__001.zip
fb0ec8299b4fce00df98,pattern19.mid,acidvoice,acid,acid,,,acidvoice/pattern19.mid,,acid/acid/acidvoice-5af895__001.zip
464b0c4f911097853ba8,pattern23.mid,acidvoice,acid,acid,,,acidvoice/pattern23.mid,,acid/acid/acidvoice-5af895__001.zip
70ef9541d86ef5dfe51b,100_funk-rock_92_fill_4-4.mid,groove-v1.0.0-midionly,groove,drums,,,groove-v1.0.0-midionly.zip,groove/drummer1/session2/100_funk-rock_92_fill_4-4.mid,groove/drums/groove-v1-0-0-midionly-e872d4__001.zip
92c82a49ba951993d4d6,100_hiphop_70_fill_4-4.mid,groove-v1.0.0-midionly,groove,drums,,,groove-v1.0.0-midionly.zip,groove/drummer7/session3/100_hiphop_70_fill_4-4.mid,groove/drums/groove-v1-0-0-midionly-e872d4__001.zip
081a055244b3b4d9f345,100_neworleans-secondline_94_beat_4-4.mid,groove-v1.0.0-midionly,groove,drums,,,groove-v1.0.0-midionly.zip,groove/drummer1/session1/100_neworleans-secondline_94_beat_4-4.mid,groove/drums/groove-v1-0-0-midionly-e872d4__001.zip
af7496ce6634714d45c8,100_pop_142_beat_4-4.mid,groove-v1.0.0-midionly,groove,drums,,,groove-v1.0.0-midionly.zip,groove/drummer7/session2/100_pop_142_beat_4-4.mid,groove/drums/groove-v1-0-0-midionly-e872d4__001.zip
7dabb20e18c57fb189a8,101_dance-disco_120_beat_4-4.mid,groove-v1.0.0-midionly,groove,drums,GM 0 Acoustic Grand Piano,Piano,groove-v1.0.0-midionly.zip,groove/drummer1/session1/101_dance-disco_120_beat_4-4.mid,groove/drums/groove-v1-0-0-midionly-e872d4__001.zip
d99856715800247fc6eb,101_funk-rock_92_fill_4-4.mid,groove-v1.0.0-midionly,groove,drums,,,groove-v1.0.0-midionly.zip,groove/drummer1/session2/101_funk-rock_92_fill_4-4.mid,groove/drums/groove-v1-0-0-midionly-e872d4__001.zip
0b6482eea295c099023e,101_hiphop_70_fill_4-4.mid,groove-v1.0.0-midionly,groove,drums,,,groove-v1.0.0-midionly.zip,groove/drummer7/session3/101_hiphop_70_fill_4-4.mid,groove/drums/groove-v1-0-0-midionly-e872d4__001.zip
937d6976791f5362f8b3,101_pop_142_beat_4-4.mid,groove-v1.0.0-midionly,groove,drums,,,groove-v1.0.0-midionly.zip,groove/drummer7/session2/101_pop_142_beat_4-4.mid,groove/drums/groove-v1-0-0-midionly-e872d4__001.zip
cbc1bfec8e0c4d02eecb,102_funk-rock_92_fill_4-4.mid,groove-v1.0.0-midionly,groove,drums,,,groove-v1.0.0-midionly.zip,groove/drummer1/session2/102_funk-rock_92_fill_4-4.mid,groove/drums/groove-v1-0-0-midionly-e872d4__001.zip
dee1a08ceca5dd8fc010,102_funk_95_beat_4-4.mid,groove-v1.0.0-midionly,groove,drums,GM 0 Acoustic Grand Piano,Piano,groove-v1.0.0-midionly.zip,groove/drummer1/session1/102_funk_95_beat_4-4.mid,groove/drums/groove-v1-0-0-midionly-e872d4__001.zip
de216899c8cc198e5102,102_hiphop_70_fill_4-4.mid,groove-v1.0.0-midionly,groove,drums,,,groove-v1.0.0-midionly.zip,groove/drummer7/session3/102_hiphop_70_fill_4-4.mid,groove/drums/groove-v1-0-0-midionly-e872d4__001.zip
4c3b410ffbb9feefbe7e,102_pop_132_beat_4-4.mid,groove-v1.0.0-midionly,groove,drums,,,groove-v1.0.0-midionly.zip,groove/drummer7/session2/102_pop_132_beat_4-4.mid,groove/drums/groove-v1-0-0-midionly-e872d4__001.zip
